,Song_Lyrics,Happy,Angry,Surprise,Sad,Fear
201,look at us lookin out out the world through glass while the hands on the clock spin around too fast gotta say ive had enough time to live at last eh eh eh eh lose yourself for a night make your own mistakes speak the words on your mind that you never say whats a day without a risk do it differently if youre waiting for the right time baby youll be waiting for a lifetime for too long got a feeling nows the right time baby oh i want it all im talking bout everything ive ever dreamed of oh i want it all i aint worried bout anybody else because i want it all all all oh i want it all finally i can see what my heart needs now hold my hand dance with me we can paint this town what are we waiting for time to live out loud if youre waiting for the right time baby youll be waiting for a lifetime for too long got a feeling nows the right time baby oh i want it all im talking bout everything ive ever dreamed of oh i want it all i aint worried bout anybody else because i want it all all all oh i want it all i dont wanna be that i dont wanna be that favorite drunken call oh say you will be mine say you will be mine oh i want it all im talking bout everything ive ever dreamed of oh i want it all i aint worried bout anybody else because i want it all all all oh i want it all,0.07,0.03,0.21,0.52,0.17
202,boys will be boys but girls will be women boys will be boys but girls will be women boys will be boys but girls will be women boys will be boys but girls will be women boys will be boys but girls will be women boys will be boys but girls will be women boys will be boys but girls will be women its second nature to walk home before the sun goes down and put your keys between your knuckles when theres boys around isnt it funny how we laugh it off to hide our fear when theres nothing funny here sick intuition that they taught us so we wont freak out we hide our figures doing anything to shut their mouths we smile away to ease the tension so it dont go south but theres nothing funny now when will we stop saying things cause theyre all listening no the kids aint alright oh and they do what they see cause its all on tv oh the kids aint alright boys will be boys will be boys will be boys will be boys but girls will be women boys will be boys will be boys will be boys will be boys but girls will be women boys will be boys will be boys will be boys will be boys but girls will be women boys will be boys will be boys will be boys will be boys but girls will be women but girls will be women but girls will be women boys will be boys but girls will be women boys will be boys but girls will be women boys will be boys but girls will be women boys will be boys but girls will be women boys will be boys but girls will be women boys will be boys but girls will be women boys will be boys but girls will be women boys will be boys but girls will be women,0.07,0.1,0.61,0.17,0.05
203,i never thought that i would find a way out i never thought id hear my heart beating loud i cant believe theres something left in my chest anymore but goddamn you got me in love again touch me take me to heaven wont you show me youre looking so good on me never have i ever met somebody like you used to be afraid of love and what it might do i never knew i had it in me to dance anymore but goddamn you got me in love again you got me in love again you got me in love again you got me in love again again i used to think that i was made out of stone i used to spend so many nights on my own i never knew i had it in me to dance anymore but goddamn you got me in love again touch me take me to heaven wont you show me youre looking so good on me never have i ever met somebody like you used to be afraid of love and what it might do i never knew i had it in me to dance anymore but goddamn you got me in love again you got me in love again you got me in love again you got me in love again again i cant believe i cant believe i finally found the one ill sink my teeth in disbelief that youre the human i want i cant believe theres something left inside my chest anymore but goddamn you got me in love again la la la la la la la la la la la la i never thought that i would find a way out i never thought id hear my heart beating loud i cant believe theres something left in my chest anymore but goddamn you got me in love again la la la la la la la la la la la la i cant believe i cant believe i finally found the one ill sink my teeth in disbelief that youre the human i want i cant believe theres something left inside my chest anymore but goddamn you got me in love again you got me in love again you got me in love again you got me in love again again,0.46,0.0,0.13,0.18,0.23
204,check one two what it is whats happening come on say something here you go put your dont just grab the mic like that you dont have to grab the mic come on over here with your dont leave it like that come on say something for sure i like falling for sure i like falling for sure i like falling for sure i like falling ive always been the one to say the first goodbye had to love and lose a hundred million times i wouldve yeah i wouldve stayed at home cause i i wouldve yeah i wouldve oh no i wouldve yeah i wouldve stayed at home cause i i wouldve yeah i wouldve oh no i hope im not the only one that feels it all are you falling for sure i like falling centre of attention i wouldve yeah i wouldve stayed at home cause i i wouldve yeah i wouldve oh no i wouldve yeah i wouldve stayed at home cause i i wouldve yeah i wouldve oh no ive always been the one to say the first goodbye had to love and lose a hundred million times had to get it wrong to know just what i like now im falling you say my name like i have never heard before im indecisive but this time i know for sure i hope im not the only one that feels it all are you falling i wouldve yeah i wouldve stayed at home cause i i wouldve yeah i wouldve i wouldve yeah i wouldve stayed at home cause i i wouldve oh no baby oh no for sure i like falling ive always been the one to say the first goodbye had to love and lose a hundred million times had to get it wrong to know just what i like i wouldve yeah i wouldve stayed at home cause i you say my name like i have never heard before im indecisive but this time i know for sure i hope im not the only one that feels before for sure before for sure before for sure before before for sure before before for sure before before for sure before i wouldve yeah i wouldve stayed at home cause i i wouldve yeah i wouldve oh no i wouldve yeah i wouldve stayed at home cause i i wouldve yeah i wouldve oh no i wouldve yeah i wouldve stayed at home cause i i wouldve yeah i wouldve oh no i wonder when you go if i stay on your mind two can play that game but you win me every time everyone before you was a waste of time yeah you got me i wouldve stayed at home cause i until next time this is dua lipa thanks for tuning in youve been listening in to club future nostalgia mwah club welcome to the club,0.1,0.29,0.1,0.43,0.1
205,all the girls stomp your feet like this all the girls stomp your feet like this all the girls stomp your feet like this all the girls stomp your feet like this few times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girl few times ive been around that track so its not just gonna happen like that cause i aint no hollaback girl i aint no hollaback girl breathe you in till i hallucinate ima love you like a fool breathe you in till i hallucinate breathe you in till i hallucinate ima love you like a fool breathe you in till i hallucinate breathe you in till i hallucinate ima love you like a fool breathе you in till i hallucinate breathe you in till i hallucinatе ima love you like a fool breathe you in till i hallucinate oh how you shine breathe you in till i hallucinate,0.17,0.17,0.33,0.0,0.33
206,one hand on my shoulder gets a little bit closer mans all makes a move yeah skip through all the small talk you wanna see me with the lights off says lets go to your room yeah i know that youre impatient your imaginations wanderin and runnin wild i can hear that your heart is racing im sorry to say im goin home alone tonight yeah dont need nobody to put their hands on my body cause i can be my somebody you know i keep me satisfied hear me breathing i i dont want it i need it and now that im getting heated you know i keep me satisfied i dont wanna wait im ready to go ill get me out of these clothes you know i keep me satisfied i dont wanna wait im ready to go ill get me out of these clothes you know i keep me satisfied im ready to go home just me with the lights low i dont need a lover i tell you im leavin but you dont believe it you come on a little stronger i know that youre impatient your imaginations wanderin and runnin wild i can hear that your heart is racing im sorry to say im goin home alone tonight yeah dont need nobody to put their hands on my body cause i can be my somebody you know i keep me satisfied hear me breathing i i dont want it i need it and now that im getting heated you know i keep me satisfied i dont wanna wait im ready to go ill get me out of these clothes you know i keep me satisfied i dont wanna wait im ready to go ill get me out of these clothes you know i keep me satisfied la la la la la la la la la la la la la la la la la la la la la la la la la la la hey hey yeah dont need nobody to put their hands on my body cause i can be my somebody you know i keep me satisfied hear me breathing i i dont want it i need it and now that im getting heated you know i keep me satisfied i dont wanna wait im ready to go ill get me out of these clothes you know i keep me satisfied i dont wanna wait im ready to go ill get me out of these clothes you know i keep me satisfied dont need nobody to put their hands on my body cause i can be my somebody you know i keep me satisfied hear me breathing i dont want it i need it and now that im getting heated you know i keep me satisfied keep me satisfied keep me satisfied,0.15,0.0,0.19,0.48,0.19
207,did a full 180 crazy thinking bout the way i was did the heartbreak change me maybe but look at where i ended up im all good already so moved on its scary im not where you left me at all so if you dont wanna see me dancing with somebody dont show up dont come out dont show up dont come out dont show up dont come out dont start caring about me caring about me caring about me caring about me caring about me now dont start caring about me caring about me caring about me caring about me caring about me caring about me caring about me now arent you the guy who tried to hurt me with the word goodbye though it took some time to survivе you im better on the othеr side im all good already so moved on its scary im not where you left me at all so if you dont wanna see me dancing with somebody dont show up dont come out dont start caring about me now walk away you know how dont start caring about me now dont start caring about me caring about me caring about me caring about me caring about me caring about me caring about me now dont start caring about me caring about me caring about me caring about me caring about me caring about me caring about me now dont show up dont come out dont start caring about me now walk away you know how dont start caring about me now walk away you know how dont start caring about me now walk away you know how dont start,0.0,0.1,0.0,0.77,0.12
208,anche se non ho niente da perdere anche se non cè niente da ridere no niente da ridere no anche se piove addosso e si scivola io so che vorrei essere dove sei tu tu sento solo questa stupida elettricità come voglia di scappare e andare via di qua sento solo questa stupida elettricità elettricità lo sai potrei abituarmi potrei abituarmi e senza stancarmi sei tu sai davvero guardarmi nel profondo guardarmi senza provare a cambiarmi e cè sempre qualcosa da risolvere ma ci arriverò proprio dove sei tu tu sento solo questa stupida elettricità come voglia di scappare e andare via di qua sento solo questa stupida elettricità elettricità elettricità lo sai potrei abituarmi potrei abituarmi e senza stancarmi sei tu sai davvero guardarmi nel profondo guardarmi senza provare a cambiarmi potrei abituarmi a te sento solo questa stupida elettricità come voglia di scappare e andare via di qua sento solo questa stupida elettricità elettricità lo sai potrei abituarmi potrei abituarmi e senza stancarmi sei tu sai davvero guardarmi nel profondo guardarmi senza provare a cambiarmi,0.0,0.0,0.0,0.0,0.0
209,3 a m and my neighbors hate me music blasting shaking these walls this time mary jane wont save me ive been working later ive been drinking stronger ive been smoking deeper but the memories wont stop i cant stop thinking bout you i cant stop thinking bout you i cant get high i cant get by i cant get through i cant stop thinking bout you like poison coursing through me so clear my vision is blurred the haze wont put my mind at ease ive been sleeping later ive been breathing stronger ive been digging deeper but the memories wont stop i cant stop thinking bout you i cant stop thinking bout you i cant get high i cant get by i cant get through i cant stop thinking bout you i cant stop thinking bout you i want you all say it before you run out of time i want you all say it before its too late i want you all say what i am feeling now i want you all waiting is insane i cant stop thinking bout you i cant stop thinking bout you i cant get high i cant get by i cant get through i cant stop thinking bout you i cant stop thinking bout you i cant get high i cant get by i cant get through i cant stop thinking bout you i cant stop thinking bout you,0.0,0.07,0.1,0.6,0.23
210,talkin in my sleep at night makin myself crazy wrote it down and read it out hopin it would save me my love he makes me feel like nobody else nobody else but my love he doesnt love me so i tell myself i tell myself one dont pick up the phone you know hes only callin cause hes drunk and alone two dont let him in youll have to kick him out again three dont be his friend you know youre gonna wake up in his bed in the morning and if youre under him you aint gettin over him i got new rules i count em i got new rules i count em i gotta tell them to myself i got new rules i count em i keep pushin forwards but he keeps pullin me backwards now im standin back from it i finally see the pattern but my love he doesnt love me so i tell myself i tell myself i got new rules i count em i got new rules i count em i got new rules i count em i got new rules i count em i gotta tell them to myself i got new rules i count em talkin in my sleep at night makin myself crazy wrote it down and read it out hopin it would save me my love he makes me feel like nobody else nobody else but my love he doesnt love me so i tell myself i tell myself one dont pick up the phone you know hes only callin cause hes drunk and alone two dont let him in youll have to kick him out again three dont be his friend you know youre gonna wake up in his bed in the morning and if youre under him you aint gettin over him i got new rules i count em i got new rules i count em i gotta tell them to myself i got new rules i count em i got new rules i count em i got new rules i count em i got new rules i count em i got new rules i count em i got new rules i count em i gotta tell them to myself i got new rules i count em i got new rules i count em,0.19,0.0,0.04,0.04,0.74
211,im still wandering alone tryna find a heartbeat in a home wishing we were set in stone will you wait here when i go whats ahead no one knows when it starts to rain when the seasons change when you fade away my baby will i be the same will i speak your name guess its hard to say my baby baby just living life life life just living life life life just living lifе life life just living life lifе life im still wandering alone tryna find a heartbeat in a home wishing we were set in stone will you wait here when i go what s ahead no one knows when it starts to rain when the seasons change when you fade away my baby will i be the same will i speak your name guess it s hard to say my baby baby just living life life life just living life life life just living life life life just living life life life,0.0,0.1,0.15,0.1,0.65
212,well i can see you movin it girl body be banging music a turn up and the dj jammin hooker than curve attention grabbin bubble you a bubble and a cause pure damage i cant stand it i cant manage give me some of that because me want your magic im all on it look what you started girl dont panic baby girl yow you shuttin down the party how you move your body move your body lets party girl its dancin on my own and later move my body move my body you got the look in your eyes that say you wanna love wanna love me lets party girl baby slow it down cause i dont need to know you need to know you fine all mine girl your stunnin just my type girl right on the money party all night early mornin hop up in my ride baby girl dont worry aint gonna rush it if you dont wanna but i got a feelin anyway that were gonna go all night best sex ever me and you together baby girl yow you shuttin down the party how you move your body move your body lets party girl its dancin on my own and later move my body move my body you got the look in your eyes that say you wanna love wanna love me lets party girl baby slow it down cause i dont need to know you need to know you baby you got a boo but imma love you better love you better lets party girl you got me feeling the heat you turnin up the pressure the pressure well me say listen me listen me gyal you love a imprison me huggin and kissin you i can only envision it so no make so no make this night turn a tragedy tun it up turn it up make we make new memories sunrise comin and ive been longin just to take you home and give you good lovin sunrise comin and ive been longin just to take you home and give you good lovin baby girl yow you shuttin down the party how you move your body move your body lets party girl its dancin on my own and later move my body move my body you got the look in your eyes that say you wanna love wanna love me lets party girl baby slow it down cause i dont need to know you need to know you baby you got a boo but imma love you better love you better lets party girl you got me feeling the heat you turnin up the pressure the pressure sunrise comin and ive been longin just to take you home and give you good lovin sunrise comin and ive been longin just to take you home and give you good lovin,0.18,0.0,0.36,0.33,0.12
213,hey you call me all friendly tellin me how much you miss me thats funny i guess youve heard my songs well im too busy for your business go find a girl who wants to listen if you think i was born yesterday you have got me wrong so i cut you off i dont need your love cause i already cried enough ive been done ive been movin on since we said goodbye i cut you off i dont need your love so you can try all you want your time is up ill tell you why you say youre sorry but its too late now so save it get gone shut up cause if you think i care about you now well boy i dont give a fuck i remember that weekend when my best friend caught you creepin you blamed it all on the alcohol so i made my decision cause you made your bed sleep in it play the victim and switch your position im through im done so i cut you off i dont need your love cause i already cried enough ive been done ive been movin on since we said goodbye i cut you off i dont need your love so you can try all you want your time is up ill tell you why you say youre sorry but its too late now so save it get gone shut up cause if you think i care about you now well boy i dont give a fuck i see you tryna get to me i see you beggin on your knees please boy i dont give a fuck so stop tryna get to me tch get up off your knees cause boy i dont give a fuck about you no i dont give a damn you keep reminiscin on when you were my man but im over you now youre all in the past you talk all that sweet talk but i aint comin back cut you off i dont need your love so you can try all you want your time is up ill tell you why you say youre sorry but its too late now so save it get gone shut up cause if you think i care about you now well boy i dont give a fuck i see you tryna get to me i see you beggin on your knees boy i dont give a fuck so stop tryna get to me tch get up off your knees cause boy i dont give a fuck,0.3,0.07,0.09,0.28,0.26
214,it was great at the very start hands on each other couldnt stand to be far apart closer the better now were picking fights and slamming doors magnifying all our flaws and i wonder why wonder what for why we keep coming back for more is it just our bodies are we both losing our minds is the only reason youre holding me tonight cause were scared to be lonely do we need somebody just to feel like were alright is the only reason youre holding me tonight cause were scared to be lonely too much time losing track of us where was the real undefined spiraling out of touch forgot how it feels all the messed up fights and slamming doors magnifying all our flaws and i wonder why wonder what for its like we keep coming back for more is it just our bodies are we both losing our minds is the only reason youre holding me tonight cause were scared to be lonely do we need somebody just to feel like were alright is the only reason youre holding me tonight cause were scared to be lonely ,0.03,0.06,0.26,0.61,0.03
215, lief pretty lief pretty oh you look so pretty lief pretty put my mind at lief pretty put my mind at pretty put my mind at somewhere in the middle i think i lied a little i i said if we took it there i wasnt gonna change but that went out the window yeah hate it when you leave me unattended cause i miss ya and i need your love when my mind is runnin wild could you help me slow it down put my mind at ease trickle down my spine oh you look so pretty please every single night i need your hands on me sweet relief pretty please hey whats up its louie vega from masters at work youre listening to club future nostalgia with dua lipa and the blessed madonna,0.4,0.0,0.24,0.24,0.12
216,we havent talked all morning bang my head bang my head against the wall im scared im falling losing all losing all my control and im tired of talking feel myself saying the same old things but this loves important dont wanna lose dont wanna lose you this way i i i i i i i i i i feel like we about to break up i i i i i i i i i i just wanna kiss and make up one last time touch me like you touch nobody put your hands all up on me tired of hearing sorry kiss and make kiss kiss and make up how about we leave this party cause all i want is you up on me tired of hearing sorry kiss and make kiss kiss and make up kiss kiss and make up kiss and make kiss kiss and make up kiss kiss and make up kiss and make kiss kiss and make up 아직 너를 못 떠나고 뭘 하고 있는 건지 언젠가는 다 끝날 걸 떠날 걸 알지만 고장 난 우릴 다시 고쳐 볼 수는 없을지 아무런 말도 넌 하지 마 마지막은 없어 i i i i i i i i i i feel like we about to break up i i i i i i i i i i just wanna kiss and make up one last time touch me like you touch nobody put your hands all up on me tired of hearing sorry kiss and make kiss kiss and make up how about we leave this party cause all i want is you up on me tired of hearing sorry kiss and make kiss kiss and make up kiss kiss and make up kiss and make kiss kiss and make up kiss kiss and make up kiss and make kiss kiss and make up 그게 뭐가 되었건 다 필요 없어 너면 됐어 so tell me can we work this whole thing out work this whole thing out 날 첨 만났던 설레던 순간 그때처럼 so tell me can we work this whole thing out work this whole thing out woo touch me like you touch nobody put your hands all up on me tired of hearing sorry kiss and make kiss kiss and make up how about we leave this party cause all i want is you up on me tired of hearing sorry kiss and make kiss kiss and make up kiss kiss and make up kiss and make kiss kiss and make up kiss kiss and make up kiss and make kiss kiss and make up kiss kiss and make up kiss and make kiss kiss and make up kiss kiss and make up kiss and make kiss kiss and make up,0.03,0.01,0.04,0.84,0.08
217,i turn tables and speak too softly i dont make much sense i don t make much sense youre unable to calm down lightly youre so intense yeah you re so intense so you just let me know what youre missing come take the pedestal youd be the reason why i keep slipping but come home you and i were one too many worlds apart it really shouldnt work but it does it really shouldnt work but it does and side by side were different but somehow the same it really shouldnt work but it does it really shouldn t work but it does when it comes to us ooh ooh ooh oh oh oh when it comes ooh ooh ooh oh oh oh when it comes to us ooh ooh ooh oh oh oh when it comes ooh ooh ooh oh oh oh when it comes to us you re too playful and never serious but i love you that way yeah i love you that way im too careful and always in a rush but it s all okay yeah its always okay,0.16,0.0,0.42,0.23,0.19
218,hard liquor playing games just say my name i wanna see you later pour me one cause he fooled me twice push me down i know im no better im not here for ya not here for ya not here for ya no no no no huh who do you think you are ive heard it all before just let this bass line roll who just me and you ill wait for tonight while the strobe lights so bright huh who do you think you are ive heard it all before just let this bass line roll who just me and you ill wait for tonight while the strobe lights so bright hard liquor playing games just say my name i wanna see you later pour me one cause he fooled me twice push me down i know im no better im not here for ya not here for ya not here for ya no no no no huh who do you think you are ive heard it all before just let this bass line roll who just me and you ill wait for tonight while the strobe lights so bright huh who do you think you are ive heard it all before just let this bass line roll who just me and you ill wait for tonight while the strobe lights so bright,0.2,0.1,0.2,0.1,0.4
219,i guess were ready for the summer i like us better when were intertwined the way you touch me got me losin my senses put your love with your lips on mine on mine on mine you got me working up an appetite tite and the colour of the sky looking nice o nice you know you know you know baby i could see us in the real life you know you know you got got me losin all my cool cause im burnin up on you in control of what i do and i love the way you move well get the heat and the thrill gives you more than any pill never runnin out of juice when its only me and you you got me you got me losin all my cool skintight ill show you heaven theres nothing better ill give it to you all night you know you know you know got me losin all my cool yeah you like the way i move in control of what i do and my love makes you brand new got me losin all my cool cause im burnin up on you in control of what i do and i love the way you move well get the heat and the thrill gives you more than any pill never runnin out of juice when its only me and you hey go woo yeah ah ah hey ah ah ah ah ah,0.41,0.07,0.21,0.21,0.1
220,troubled nights a troubled guy with nothing but entitlement behind his eyes i wish i saw right through the lies in that disguise so criminal words can cut deep like a knife and i know that you did it all all out of spite you tried to pull me down when i was ridin high hypocritical i turned on the light and i saw exactly who you are no more tears to cry from the moment i walked out the door we fell so far apart but i swear it was fate cause you and me together was my greatest mistake i m grateful for the pain nothing left to say you and me together are better this way he who comes he who goes there s nothing like a boy with a a bruisin soul who runs their mouth as if he knows so critical so critical i turned on the light and i saw exactly who you are no more tears to cry from the moment i walked out the door we fell so far apart but i swear it was fate cause you and me together was my greatest mistake i m grateful for the pain nothing left to say you and me together are better this way times the only reason we decided to stay we tried to let it go but got stuck in our ways were pullin on the chain we were bound to break you and me together are better this way better this way ay ay ay better this way ay ay ay better this way ay ay ay you and me together are better this way you made me better and knowing what i really want knowing who i really am ill never settle for nothing less than i deserve thank you for the lesson learned we fell so far apart but i swear it was fate cause you and me together was my greatest mistake i m grateful for the pain nothing left to say you and me together are better this way times the only reason we decided to stay we tried to let it go but got stuck in our ways were pullin on the chain we were bound to break you and me together are better this way better this way ay ay ay better this way ay ay ay better this way ay ay ay you and me together are better this way,0.08,0.25,0.14,0.28,0.25
221,if you dont wanna see me did a full 180 crazy thinking bout the way i was did the heartbreak change me maybe but look at where i ended up im all good already so moved on its scary im not where you left me at all so if you dont wanna see me dancing with somebody if you wanna believe that anything could stop me dont show up dont come out dont start caring about me now walk away you know how dont start caring about me now arent you the guy who tried to hurt me with the word goodbye though it took some time to survive you im better on the other side im all good already so moved on its scary im not where you left me at all so if you dont wanna see me dancing with somebody if you wanna believe that anything could stop me dont show up dont come out dont start caring about me now walk away you know how dont start caring about me now up up dont come out out out dont show up up up dont start now up up dont come out out im not where you left me at all so if you dont wanna see me dancing with somebody if you wanna believe that anything could stop me dont show up dont come out dont start caring about me now walk away you know how dont start caring about me now up up dont come out out out dont show up up up walk away walk away up up dont come out out out dont show up up up walk away walk away oh,0.0,0.25,0.0,0.53,0.22
222,falling into you baby even electricity cant compare to what i feel when im with you ooh baby giving up my ghost for you and now im see through you give me a feeling feeling so strong i know youve been treating treating yourself wrong so let me care for you ooh baby ima love you differently ill give you electricity give it to you and even if i could i wouldnt turn on you and i would stop the world for you you know i wanna let you know ill never let this feeling go this love has no ceiling i cannot deny even if i could i wouldnt turn on you and i would stop the world for you and i i wanna let you know ill never let this feeling go this love has no ceiling i cannot deny all i see is you lately wide awake and in my dreams i see your face so vividly i dont know what id do ooh baby if you only saw a friend in me id be bittersweet you give me a feeling feeling so strong i know youve been treating treating yourself wrong so let me care for you ooh baby ima love you differently ill give you electricity give it to you and even if i could i wouldnt turn on you and i would stop the world for you you know i wanna let you know ill never let this feeling go this love has no ceiling i cannot deny even if i could i wouldnt turn on you and i would stop the world for you and i i wanna let you know ill never let this feeling go this love has no ceiling i cannot deny i feel electric baby so electric baby wanna let you know let you know ooh i think im ready baby i think im ready now electricity im flowing in to you i feel electric baby so electric baby wanna let you know let you know i think im ready baby i think im ready now electricity im flowing in to you and even if i could i wouldnt turn on you and i would stop the world for you you know i wanna let you know ill never let this feeling go this love has no ceiling i cannot deny even if i could i wouldnt turn on you and i would stop the world for you and i i wanna let you know ill never let this feeling go this love has no ceiling i cannot deny i feel electric baby so electric baby wanna let you know let you know i think im ready baby i think im ready now electricity i feel electric baby,0.3,0.0,0.39,0.18,0.12
223,hey hey after a few drinks i started to thinking bout what we had it gets complicated in my head in my bed am i mad yeah and at the parties nobody seems to care its like im not there and i just want you to know one two that i still think about it i still talk about it and theres not a thing i can do theres not a thing i can do i still talk about it try to forget about it and theres not a thing i can do theres not a thing i can do to get over you to get over you to get over you to get over you to get over you when i left ya i left hidden treasure cause now no one can measure its pressure and i dont know what to do do i comeback with the pride that i have left cause i know you were the best but i just want you to know one two that i still think about it i still talk about it and theres not a thing i can do theres not a thing i can do i still talk about it try to forget about it and theres not a thing i can do theres not a thing i can do to get over you to get over you to get over you to get over you to get over you now ive come undone and if i could turn back time id choose you i wish you were mine i didnt know then but now i do that i still think about it i still talk about it and theres not a thing i can do theres not a thing i can do i still talk about it try to forget about it and theres not a thing i can do theres not a thing i can do to get over you to get over you to get over you to get over you to get over you to get over you to get over you to get over you to get over you,0.08,0.38,0.23,0.15,0.15
224,it was great at the very start hands on each other couldnt stand to be far apart closer the better now were picking fights and slamming doors magnifying all our flaws and i wonder why wonder what for why we keep coming back for more is it just our bodies are we both losing our minds is the only reason youre holding me tonight cause were scared to be lonely do we need somebody just to feel like were alright is the only reason youre holding me tonight cause were scared to be lonely cause were scared to be lonely cause were scared to be lonely cause were scared to be lonely cause were scared to be lonely cause were scared to be lonely scared to be lonely too much time losing track of us where was the real undefined spiraling out of touch forgot how it feels all the messed up fights and slamming doors magnifying all our flaws and i wonder why wonder what for its like we keep coming back for more even when we know its wrong been somebody better for us all along tell me how can we keep holding on holding on tonight cause were scared to be lonely even when we know its wrong been somebody better for us all along tell me how can we keep holding on holding on tonight cause were scared to be lonely is it just our bodies are we both losing our minds is the only reason youre holding me tonight cause were scared to be lonely do we need somebody just to feel like were alright is the only reason youre holding me tonight cause were scared to be lonely scared to be lonely scared to be lonely scared to be lonely scared to be lonely scared to be lonely,0.02,0.04,0.14,0.79,0.02
225,i told myself id never let it hurt me been wasting tears on things that don t deserve me blessed with the curse to feel as deeply as i do i m compromised and losin all my senses give me the rush but easy on the tension oh here it comes that kind of blue im so used to it s one of those nights i m up and can t get out my mind so stuck but in the morning i look in the mirror and tell myself some days are gonna be gonna be hardеr than the rest of them baby than thе rest of them but it s alright some days are gonna be gonna be harder than the rest of them baby make the best of them cause its alright i know the taste of when it starts to creep in its bittersweet to make it out the deep end so hard to see its brighter on the other side its one of those nights im up and cant get out my mind so stuck but in the morning i look in the mirror and tell myself some days are gonna be gonna be harder than the rest of them baby than the rest of them but its alright some days are gonna be gonna be harder than the rest of them baby make the best of them cause its alright hard days happen to the best of them make the best of them it s alright hard days happen to the best of them make the best of them its alright hard days happen to the best of them make the best of them its alright hard days happen to the best of them make the best of them its alright some days are gonna be gonna be harder than the rest of them baby than the rest of them but its alright some days are gonna be gonna be harder than the rest of them baby make the best of them cause its alright hard days happen to the best of them make the best of them it s alright some days are gonna be gonna be harder than the rest of them baby make the best of them cause it s alright hard days happen to the best of them make the best of them its alright hard days happen to the best of them make the best of them its alright some days are gonna be gonna be harder than the rest of them baby make the best of them cause its alright some days are gonna be gonna be harder than the rest of them baby make the best of them cause it s alright some days are gonna be gonna be harder some days are gonna be gonna be harder,0.39,0.14,0.05,0.36,0.05
226,did a full 180 crazy thinking bout the way i was did the heartbreak change me maybe but look at where i ended up im all good already so moved on its scary im not where you left me at all so if you dont wanna see me dancing with somebody if you wanna believe that anything could stop me may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may dont show up dont come out dont start caring about me now walk away you know how dont start caring about me now arent you the guy who tried to hurt me with the word goodbye though it took some time to survive you im better on the other side im all good already so moved on its scary im not where you left me at all so if you dont wanna see me dancing with somebody if you wanna believe that anything could stop me may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may may dont show up dont come out dont start caring about me now walk away you know how dont start caring about me now,0.0,0.14,0.0,0.57,0.29
227, chloe x halle luke combs greta van fleet h e r dua lipa track from dua lipa margo price bebe rexha jorja smith,0.0,0.0,0.0,0.0,0.0
228,pressure buildin put that on me time to finish what we started give me what i always wanted mirror mirror tell me something you been holdin on and on for way too long the beat is heated up the bass go boom you been workin double time to catch your breath the tempo speeded up but dont stop yet you need to you need to exhale so let everything go baby you in control you need to you need to exhale so let everything go baby you in control dont stop keep it goin lights on lights off im still glowin confidence im overflowin voices tell me keep your focus you been holdin on and on for way too long the beat is heated up the bass go boom you been workin double time to catch your breath the tempo speeded up but dont stop yet you need to you need to exhale so let everything go baby you in control you need to you need to exhale so let everything go baby you in control watch me do it watch me own it i know i got it keep on movin keep on goin cause if you want it you need to you need to exhale so let everything go baby you in control you need to you need to exhale so let everything go baby you in control you need to you need to exhale,0.0,0.0,0.57,0.07,0.36
229,i i cant lie im scared to open my eyes cause what if i find nothing at all nothing at all what is the point of my lips if they dont make noise oh what is the point of doing nothing at all watching it fall the flicker burning you know the time is running running out only i see oh the diamonds diamonds breaking down i wont stay quiet i wont stay quiet cause staying silents the same as dying i wont stay quiet the flickers burning now this is not a this is not a swan swan song this is not a this is not a swan swan song we just gotta we just gotta hold on tonight this is not a this is not a swan song swan song swan dive yeah its a new life real fantasy wishing it was make believe oh what is the reason of doing nothing at all watching it fall the flicker burning you know the time is running running out only i see oh the diamonds diamonds breaking down i wont stay quiet i wont stay quiet cause staying silents the same as dying i wont stay quiet the flickers burning now this is not a this is not a swan swan song this is not a this is not a swan swan song we just gotta we just gotta hold on tonight this is not a this is not a swan song swan song swan dive yeah its a new life,0.0,0.22,0.15,0.37,0.27
230,somewhere in the middle i think i lied a little i i said if we took it there i wasnt gonna change but that went out the window yeah i know that i seem a little stressed out but youre here now and youre turning me on i wanna feel a different kinda tension yeah you guessed it the kind thats fun hate it when you leave me unattended cause i miss ya and i need your love when my mind is runnin wild could you help me slow it down put my mind at easе pretty please i need your hands on mе sweet relief pretty please exactly where i want me yeah underneath your body yeah if we take it further i swear i aint gonna break so baby come try me baby come find me baby dont wind me up i know that i seem a little stressed out but youre here now and youre turning me on i wanna feel a different kinda tension yeah you guessed it the kind thats fun hate it when you leave me unattended cause i miss ya and i need your love when my mind is runnin wild could you help me slow it down put my mind at ease pretty please i need your hands on me sweet relief pretty put my mind at ease trickle down my spine oh you look so pretty please every single night i need your hands on me when your kisses climb oh you give me sweet relief made me feel so pretty would you help me out please youre locked into club future nostalgia,0.31,0.03,0.26,0.26,0.15
